,Holder_ID,Age,Holder_Sex,District,City_Code,Race1,Race1_Hybrid,Race2,Race2_Hybrid,Race,Dog_Birth_Year,Dog_sex,Dog_Color,Dog_Age,Owner_Age_Group
0,574,61-70,w,2,23,Mischling gross,,,,I,2013,w,schwarz,10,6
1,695,41-50,m,6,63,Labrador Retriever,,,,I,2012,w,braun,11,4
2,893,71-80,w,7,71,Mittelschnauzer,,,,I,2010,w,schwarz,13,7
3,916,41-50,m,3,34,Mischling klein,,,,K,2015,w,hellbraun,8,4
4,1177,51-60,m,10,102,Shih Tzu,,,,K,2011,m,schwarz/weiss,12,5
5,4054,51-60,w,11,111,Lagotto Romagnolo,,,,I,2016,w,weiss/beige,7,5
6,4135,41-50,w,9,91,Mischling klein,,,,K,2016,w,schwarz,7,4
7,4206,71-80,w,8,82,Havaneser,,,,K,2016,w,hellbraun/weiss,7,7
8,4281,61-70,w,9,91,Chihuahua,,,,K,2011,w,hellbraun,12,6
9,4388,61-70,w,11,115,Mops,,,,K,2006,m,beige,17,6
10,4726,51-60,m,5,52,Mischling gross,,,,I,2007,m,schwarz,16,5
11,4726,51-60,m,5,52,Golden Retriever,,,,I,2013,w,creme,10,5
12,4747,61-70,m,2,24,Chihuahua,,,,K,2013,m,weiss/braun,10,6
13,4850,51-60,m,4,42,Chihuahua,,,,K,2013,w,beige,10,5
14,4862,51-60,m,4,42,Mops,,,,K,2006,m,braun,17,5
15,5040,61-70,m,10,102,Labrador Retriever,,,,I,2016,w,gelb,7,6
16,5088,61-70,m,7,72,Labrador Retriever,,,,I,2014,w,schwarz,9,6
17,5113,61-70,m,11,119,Beagle,,,,K,2010,w,tricolor,13,6
18,5113,61-70,m,11,119,Chihuahua,,,,K,2017,w,beige,6,6
19,5225,71-80,m,3,34,Lagotto Romagnolo,,,,I,2007,m,braun,16,7
20,5227,71-80,m,10,101,Border Terrier,,,,K,2011,w,tricolor,12,7
21,5406,51-60,m,6,61,Französische Bulldogge,,,,K,2013,m,weiss/schwarz,10,5
22,5740,51-60,m,9,92,Jack Russel Terrier,,,,K,2015,w,weiss/braun,8,5
23,6071,71-80,m,3,34,Pointer,,,,I,2012,w,schwarz/braun,11,7
24,6071,71-80,m,3,34,Pointer,Mischling,,,I,2016,m,schwarz,7,7
25,6078,51-60,w,12,121,Chihuahua,,,,K,2011,w,braun/weiss,12,5
26,6078,51-60,w,12,121,Chihuahua,,,,K,2011,w,braun,12,5
27,6130,61-70,w,10,101,Mischling gross,,,,I,2017,m,schwarz,6,6
28,6469,51-60,m,11,111,Mops,,,,K,2011,m,beige,12,5
29,6594,51-60,m,7,72,Staffordshire Bullterrier,,,,II,2005,w,mahagoni/weiss,18,5
30,6600,61-70,m,6,63,Shetland Sheepdog,,,,K,2012,w,tricolor,11,6
31,6617,61-70,w,12,122,Grosspudel,,,,I,2019,w,weiss,4,6
32,6640,51-60,m,8,82,Englische Bulldogge,,,,I,2011,m,braun/weiss,12,5
33,12371,61-70,w,2,23,Chihuahua,,,,K,2017,w,braun/weiss,6,6
34,12409,71-80,m,9,91,Mischling klein,,,,K,2008,w,weiss/schwarz/braun,15,7
35,13193,61-70,m,11,111,Langhaardackel,,,,K,2005,w,hellbraun,18,6
36,14387,71-80,m,5,52,Zwergpinscher,,,,K,2015,m,schwarz/braun,8,7
37,14550,81-90,m,12,122,Biewer Yorkshire Terrier,,,,K,2015,w,tricolor,8,8
38,15456,41-50,m,2,21,Chihuahua,,,,K,2015,w,schwarz/weiss,8,4
39,15456,41-50,m,2,21,Chihuahua,,,,K,2010,m,schwarz,13,4
40,15490,61-70,m,9,92,Parson Jack Russell Terrier,,,,K,2015,m,weiss/blau,8,6
41,15530,61-70,m,2,21,Mops,,,,K,2017,m,weiss/beige,6,6
42,15639,61-70,m,11,119,Malteser,,,,K,2013,w,weiss,10,6
43,18010,61-70,m,3,34,Pit Bull Terrier,,,,II,2003,m,schwarz/weiss,20,6
44,18020,51-60,m,5,52,Labrador Retriever,,,,I,2011,w,schwarz,12,5
45,18130,21-30,m,11,119,Pomeranian,,,,K,2017,m,weiss,6,2
46,18254,61-70,w,11,115,Bolonka Zwetna,,,,K,2017,m,weiss,6,6
47,18360,41-50,w,3,31,Mischling gross,,,,I,2010,w,weiss,13,4
48,18416,61-70,m,7,72,Zwergspitz,,,,K,2016,m,weiss,7,6
49,18462,51-60,m,6,63,Border Collie,,,,I,2015,m,tricolor,8,5
50,19004,51-60,m,5,52,Malteser,,,,K,2014,m,weiss,9,5
