,Holder_ID,Age,Holder_Sex,District,City_Code,Race1,Race1_Hybrid,Race2,Race2_Hybrid,Race,Dog_Birth_Year,Dog_sex,Dog_Color
0,574,61-70,w,2,23,Mischling gross,,,,I,2013,w,schwarz
1,695,41-50,m,6,63,Labrador Retriever,,,,I,2012,w,braun
2,893,71-80,w,7,71,Mittelschnauzer,,,,I,2010,w,schwarz
3,916,41-50,m,3,34,Mischling klein,,,,K,2015,w,hellbraun
4,1177,51-60,m,10,102,Shih Tzu,,,,K,2011,m,schwarz/weiss
5,4054,51-60,w,11,111,Lagotto Romagnolo,,,,I,2016,w,weiss/beige
6,4135,41-50,w,9,91,Mischling klein,,,,K,2016,w,schwarz
7,4206,71-80,w,8,82,Havaneser,,,,K,2016,w,hellbraun/weiss
8,4281,61-70,w,9,91,Chihuahua,,,,K,2011,w,hellbraun
9,4388,61-70,w,11,115,Mops,,,,K,2006,m,beige
10,4726,51-60,m,5,52,Mischling gross,,,,I,2007,m,schwarz
11,4726,51-60,m,5,52,Golden Retriever,,,,I,2013,w,creme
12,4747,61-70,m,2,24,Chihuahua,,,,K,2013,m,weiss/braun
13,4850,51-60,m,4,42,Chihuahua,,,,K,2013,w,beige
14,4862,51-60,m,4,42,Mops,,,,K,2006,m,braun
15,5040,61-70,m,10,102,Labrador Retriever,,,,I,2016,w,gelb
16,5088,61-70,m,7,72,Labrador Retriever,,,,I,2014,w,schwarz
17,5113,61-70,m,11,119,Beagle,,,,K,2010,w,tricolor
18,5113,61-70,m,11,119,Chihuahua,,,,K,2017,w,beige
19,5225,71-80,m,3,34,Lagotto Romagnolo,,,,I,2007,m,braun
20,5227,71-80,m,10,101,Border Terrier,,,,K,2011,w,tricolor
21,5406,51-60,m,6,61,Französische Bulldogge,,,,K,2013,m,weiss/schwarz
22,5740,51-60,m,9,92,Jack Russel Terrier,,,,K,2015,w,weiss/braun
23,6071,71-80,m,3,34,Pointer,,,,I,2012,w,schwarz/braun
24,6071,71-80,m,3,34,Pointer,Mischling,,,I,2016,m,schwarz
25,6078,51-60,w,12,121,Chihuahua,,,,K,2011,w,braun/weiss
26,6078,51-60,w,12,121,Chihuahua,,,,K,2011,w,braun
27,6130,61-70,w,10,101,Mischling gross,,,,I,2017,m,schwarz
28,6469,51-60,m,11,111,Mops,,,,K,2011,m,beige
29,6594,51-60,m,7,72,Staffordshire Bullterrier,,,,II,2005,w,mahagoni/weiss
30,6600,61-70,m,6,63,Shetland Sheepdog,,,,K,2012,w,tricolor
31,6617,61-70,w,12,122,Grosspudel,,,,I,2019,w,weiss
32,6640,51-60,m,8,82,Englische Bulldogge,,,,I,2011,m,braun/weiss
33,12371,61-70,w,2,23,Chihuahua,,,,K,2017,w,braun/weiss
34,12409,71-80,m,9,91,Mischling klein,,,,K,2008,w,weiss/schwarz/braun
35,13193,61-70,m,11,111,Langhaardackel,,,,K,2005,w,hellbraun
36,14387,71-80,m,5,52,Zwergpinscher,,,,K,2015,m,schwarz/braun
37,14550,81-90,m,12,122,Biewer Yorkshire Terrier,,,,K,2015,w,tricolor
38,15456,41-50,m,2,21,Chihuahua,,,,K,2015,w,schwarz/weiss
39,15456,41-50,m,2,21,Chihuahua,,,,K,2010,m,schwarz
40,15490,61-70,m,9,92,Parson Jack Russell Terrier,,,,K,2015,m,weiss/blau
41,15530,61-70,m,2,21,Mops,,,,K,2017,m,weiss/beige
42,15639,61-70,m,11,119,Malteser,,,,K,2013,w,weiss
43,18010,61-70,m,3,34,Pit Bull Terrier,,,,II,2003,m,schwarz/weiss
44,18020,51-60,m,5,52,Labrador Retriever,,,,I,2011,w,schwarz
45,18130,21-30,m,11,119,Pomeranian,,,,K,2017,m,weiss
46,18254,61-70,w,11,115,Bolonka Zwetna,,,,K,2017,m,weiss
47,18360,41-50,w,3,31,Mischling gross,,,,I,2010,w,weiss
48,18416,61-70,m,7,72,Zwergspitz,,,,K,2016,m,weiss
49,18462,51-60,m,6,63,Border Collie,,,,I,2015,m,tricolor
50,19004,51-60,m,5,52,Malteser,,,,K,2014,m,weiss
51,19225,71-80,w,12,122,Neufundländer,,,,I,2016,m,braun/weiss
52,19652,61-70,w,2,24,Mischling klein,,,,K,2007,w,braun
53,19900,51-60,w,5,51,Deutscher Kleinspitz,,,,K,2015,m,braun/schwarz
54,20351,51-60,w,10,101,Labrador Retriever,,,,I,2011,m,braun
55,20762,61-70,m,4,42,Zwergpudel,,,,K,2012,m,apricot
56,20949,61-70,m,11,111,Shiba Inu,Mischling,,,K,2014,w,beige
57,21002,71-80,m,7,71,Mischling gross,,,,I,2011,m,creme
58,21793,61-70,w,11,115,Mischling klein,,,,K,2014,w,schwarz
59,21828,71-80,w,7,74,Spitz,Mischling,,,K,2013,m,weiss/beige
60,21865,71-80,m,6,61,Foxterrier,,,,K,2017,m,schwarz/weiss
61,22186,41-50,m,8,82,Labrador Retriever,,Border Collie,,I,2009,m,schwarz
62,22378,51-60,m,7,72,Kooikerhondje,,,,K,2010,w,weiss/orange
63,22750,61-70,m,2,21,Jack Russel Terrier,,,,K,2013,w,weiss/braun
64,22776,51-60,m,11,119,Berner Sennenhund,,,,I,2014,m,tricolor
65,22950,61-70,w,11,119,Mittelpudel,,,,K,2013,w,schwarz
66,23054,61-70,w,10,101,Cairn Terrier,,,,K,2011,m,rot/beige
67,23408,41-50,m,12,122,Yorkshire Terrier,,,,K,2011,w,black/tan
68,23453,41-50,m,11,111,Golden Retriever,,Rottweiler,,I,2016,w,schwarz/weiss/braun
69,23493,61-70,m,11,111,Boxer,,,,I,2013,m,braun/weiss
70,23590,61-70,w,9,92,Affenpinscher,Mischling,,,K,2012,w,schwarz
71,23750,41-50,w,8,81,Parson Jack Russell Terrier,,,,K,2019,m,tricolor
72,23889,61-70,w,4,42,Pudel,,,,K,2012,m,braun
73,24041,41-50,w,11,115,Bergamasker,,Border Collie,,I,2019,w,schwarz/weiss
74,24246,51-60,m,10,102,Samojede,,,,I,2018,w,weiss
75,44439,71-80,m,7,74,Mischling klein,,,,K,2005,m,hellbraun
76,54322,71-80,m,3,33,Lagotto Romagnolo,,,,I,2009,m,weiss/orange
77,55176,71-80,m,3,34,Dobermann,,,,I,2016,m,schwarz/braun
78,55693,71-80,w,11,119,Chihuahua,,,,K,2011,w,braun/weiss
79,55835,71-80,w,8,82,Lagotto Romagnolo,,,,I,2009,m,marronschimmel
80,60348,71-80,m,11,111,Mischling klein,,,,K,2013,w,schwarz/weiss
81,60402,61-70,w,11,111,Mischling klein,,,,K,2013,m,dunkelbraun
82,61323,71-80,m,8,81,Mudi,,,,I,2010,m,blondfarben
83,62389,71-80,m,8,83,Boxer,,,,I,2014,w,gestromt
84,62628,71-80,m,7,72,Yorkshire Terrier,,,,K,2007,w,graubraun
85,63468,81-90,m,7,74,Pekingese,,,,K,2012,m,schwarz/weiss
86,63704,71-80,m,10,101,Dachshund,,,,K,2012,w,saufarben
87,64444,61-70,m,7,71,Mischling klein,,,,K,2007,w,rot/weiss
88,64727,51-60,m,8,83,Appenzeller Sennenhund,,Border Collie,,I,2016,m,tricolor
89,65665,61-70,w,8,82,Mops,,,,K,2019,m,beige/schwarz
90,65681,51-60,m,2,21,Italienisches Windspiel,,,,K,2011,m,blau
91,65713,71-80,w,2,21,Lagotto Romagnolo,,,,I,2005,w,braun
92,65713,71-80,w,2,21,Lagotto Romagnolo,,,,I,2017,w,braun
93,65732,51-60,m,7,72,Holländischer Schäfer,,,,I,2009,m,gestromt
94,65758,51-60,w,7,71,Yorkshire Terrier,,,,K,2007,m,black/tan
95,65794,51-60,m,7,72,Lagotto Romagnolo,,,,I,2017,m,braun/weiss
96,65940,51-60,w,8,81,Berner Sennenhund,,,,I,2019,w,tricolor
97,65975,61-70,w,7,74,Cocker Spaniel,,,,K,2018,m,hellbraun/weiss
98,65975,61-70,w,7,74,Labrador Retriever,,,,I,2010,w,braun
99,65975,61-70,w,7,74,Labrador Retriever,,,,I,2006,m,schwarz
100,65981,51-60,w,6,63,Labrador Retriever,,,,I,2013,m,gelb
101,65981,51-60,w,6,63,Labrador Retriever,,,,I,2017,m,gelb
102,66151,51-60,m,11,115,Deutscher Schäfer,,,,I,2008,w,schwarz/braun/weiss
103,66298,51-60,m,6,63,Magyar Viszla,,,,I,2010,m,gelb
104,66323,51-60,m,8,83,Mischling klein,,,,K,2017,m,braun
105,66515,61-70,m,8,83,Labrador Retriever,,,,I,2007,w,braun
106,66515,61-70,m,8,83,Labrador Retriever,,,,I,2011,w,braun
107,66757,51-60,w,1,14,Mischling gross,,,,I,2012,m,braun/beige
108,66869,51-60,w,2,24,Havaneser,,,,K,2015,m,braun/rot
109,67001,51-60,w,3,34,Mops,,,,K,2013,m,beige
110,67018,71-80,w,6,61,Labrador Retriever,,,,I,2012,m,beige
111,67125,61-70,m,7,74,Rhodesian Ridgeback,,,,I,2017,m,blue/tan
112,67135,41-50,m,6,61,Jack Russel Terrier,,,,K,2010,w,tricolor
113,67135,41-50,m,6,61,Jack Russel Terrier,,,,K,2017,w,tricolor
114,67220,71-80,m,2,21,Mischling klein,,,,K,2010,m,braun
115,67272,31-40,w,3,33,Beagle,,,,K,2017,w,tricolor
116,67308,51-60,w,11,111,Shih Tzu,,,,K,2012,w,braun/weiss
117,67327,41-50,m,5,52,Pudel,,Golden Retriever,,I,2018,m,creme
118,70076,41-50,m,9,92,Labrador Retriever,,,,I,2009,m,braun
119,70115,41-50,w,3,31,Mischling gross,,,,I,2016,m,schwarz/weiss
120,70152,61-70,m,8,82,Bayerischer Gebirgsschweisshund,,Border Collie,,I,2018,w,schwarz
121,70176,41-50,w,4,44,Mischling gross,,,,I,2012,w,weiss
122,70296,51-60,w,7,74,Pinscher,Mischling,,,K,2009,m,hellbraun
123,70296,51-60,w,7,74,Mischling klein,,,,K,2010,w,weiss/beige
124,70577,51-60,w,3,34,Mischling klein,,,,K,2014,w,blondfarben
125,70788,31-40,m,7,71,Mops,,Beagle,,K,2014,w,braun
126,71024,61-70,w,7,74,Lagotto Romagnolo,,,,I,2012,w,bianco-aranico
127,71142,51-60,w,7,71,Canaan Dog,,,,I,2008,m,schwarz
128,71555,71-80,m,7,71,Braque d'Auvergne,,,,I,2018,m,schwarz/weiss
129,71670,61-70,m,7,71,Deutscher Schäfer,,,,I,2012,w,braun
130,71885,71-80,w,7,73,Mischling klein,,,,K,2013,w,weiss/braun
131,71893,51-60,w,6,63,Border Collie,,,,I,2012,w,tricolor
132,71991,51-60,m,6,63,Border Collie,,,,I,2015,m,schwarz/weiss
133,72136,61-70,m,7,72,Labrador Retriever,,,,I,2007,m,choco
134,72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,hellbraun
135,72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,braun
136,80007,71-80,m,11,111,Labrador Retriever,,,,I,2016,m,schwarz
137,80011,51-60,w,12,123,Yorkshire Terrier,,,,K,2009,m,tricolor
138,80021,51-60,w,11,111,Labrador Retriever,,,,I,2011,w,schwarz
139,80023,71-80,m,11,111,Border Collie,,,,I,2010,m,tricolor
140,80023,71-80,m,11,111,Border Collie,,,,I,2014,w,schwarz/weiss
141,80028,41-50,w,10,101,Border Collie,,Deutscher Schäfer,,I,2015,w,tricolor
142,80056,81-90,m,7,74,Labrador Retriever,,,,I,2006,w,schwarz
143,80059,71-80,w,12,123,Französische Bulldogge,,,,K,2007,w,weiss
144,80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,,,,I,2011,m,hirschrot mit Maske
145,80096,51-60,w,11,111,Shih Tzu,Mischling,,,K,2014,m,beige
146,80099,81-90,m,12,123,Pinscher,,,,K,2002,m,rot
147,80106,61-70,w,9,91,Labrador Retriever,,Golden Retriever,,I,2009,m,schwarz
148,80127,51-60,w,10,101,Mischling gross,,,,I,2016,m,weiss/braun
149,80134,71-80,m,9,91,Mischling gross,,,,I,2016,w,weiss
150,80141,51-60,m,11,111,Yorkshire Terrier,Mischling,,,K,2003,w,schwarz/braun/grau
151,80162,61-70,m,12,123,Spitz,Mischling,,,K,2004,m,schwarz/weiss
152,80162,61-70,m,12,123,Parson Jack Russell Terrier,,,,K,2008,m,weiss/rot
153,80168,61-70,m,11,119,Labrador Retriever,,,,I,2005,m,beige
154,80172,61-70,m,9,91,Labrador Retriever,,,,I,2008,m,schwarz
155,80185,41-50,m,10,102,Labrador Retriever,,,,I,2010,w,blondfarben
156,80205,41-50,m,5,51,Beauceron Berge de Beauce,,,,I,2016,m,schwarz/braun
157,80226,71-80,w,6,61,Labrador Retriever,,,,I,2018,w,blondfarben
158,80230,61-70,w,9,92,Yorkshire Terrier,,,,K,2006,m,braun/weiss
159,80230,61-70,w,9,92,Chihuahua,,,,K,2017,w,beige
160,80248,61-70,m,4,42,Jack Russel Terrier,,,,K,2009,w,braun/weiss
161,80258,61-70,m,11,111,Dachshund,,,,K,2009,w,rot/schwarz
162,80258,61-70,m,11,111,Weimaraner,,,,I,2016,w,grau
163,80267,41-50,m,12,122,Mischling klein,,,,K,2006,m,braun
164,80272,51-60,m,9,91,Foxterrier,,,,K,2017,m,schwarz/weiss
165,80319,51-60,w,10,102,Mischling klein,,,,K,2006,m,braun/schwarz
166,80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun
167,80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun
168,80370,61-70,m,12,121,Deutscher Schäfer,,,,I,2016,m,schwarz/braun
169,80382,61-70,w,10,102,Dachshund,,,,K,2008,m,braun
170,80383,91-100,w,4,44,Malteser,,Chihuahua,,K,2014,w,weiss
171,80404,61-70,m,7,72,Deutscher Wachtelhund,,,,I,2015,m,braun schimmel
172,80406,61-70,m,11,111,Labrador Retriever,,,,I,2008,w,schwarz
173,80407,81-90,m,7,72,Labrador Retriever,,,,I,2012,w,schwarz
174,80410,61-70,w,3,33,Labrador Retriever,,,,I,2012,w,schwarz
175,80412,51-60,m,2,21,Labrador Retriever,,,,I,2012,m,schwarz
176,80416,51-60,w,9,91,Labrador,,,,I,2016,m,schwarz
177,80434,61-70,w,7,71,Pudel,Mischling,,,K,2006,m,schwarz
178,80491,71-80,w,6,63,Chihuahua,,,,K,2006,w,braun
179,80493,81-90,w,11,119,Shih Tzu,,,,K,2006,m,weiss/schwarz
180,80500,61-70,m,11,111,Boxer,,,,I,2010,w,goldbraun
181,80509,71-80,w,2,24,Boxer,,,,I,2011,w,gelb
182,80513,61-70,w,3,33,Parson Jack Russell Terrier,,,,K,2011,w,tricolor
183,80517,51-60,w,11,119,Bolonka Zwetna,,,,K,2016,w,beige/creme
184,80521,61-70,w,11,111,Deutscher Schäfer,,,,I,2013,w,schwarz/braun
185,80525,81-90,m,7,72,Zwergpudel,,,,K,2011,m,schwarz
186,80538,61-70,w,2,24,English Cocker Spaniel,,,,K,2011,m,schwarz/weiss
187,80545,51-60,m,9,91,Border Terrier,,,,K,2010,w,red grizzle
188,80545,51-60,m,9,91,Border Terrier,,,,K,2006,w,schwarz/braun
189,80571,51-60,m,3,34,Mischling klein,,,,K,2013,w,schwarz/braun
190,80575,81-90,w,4,42,Mischling klein,,,,K,2008,w,weiss/beige
191,80584,71-80,w,8,82,Labrador Retriever,,,,I,2009,m,schwarz
192,80602,71-80,w,12,122,Bolonka Zwetna,,,,K,2011,m,weiss
193,80604,71-80,m,7,72,Labrador Retriever,,,,I,2009,w,braun
194,80604,71-80,m,7,72,Labrador Retriever,,,,I,2012,w,schwarz
195,80607,81-90,w,10,101,West Highland White Terrier,,,,K,2004,w,weiss
196,80618,71-80,w,8,83,Irish Terrier,,,,I,2005,w,rot
197,80628,61-70,m,9,91,Labrador Retriever,,,,I,2016,w,schwarz
198,80631,71-80,w,11,115,Mischling gross,,,,I,2012,w,braun/schwarz
199,80637,81-90,m,12,123,Mischling gross,,,,I,2009,w,schwarz
200,80648,51-60,m,11,111,Groenendael,,,,I,2015,m,schwarz
201,80653,61-70,m,7,73,Groenendael,,,,I,2009,w,schwarz
202,80656,71-80,m,10,101,Epagneul Breton (Bretonischer Vorstehhund),,,,I,2008,w,weiss/braun
203,80659,51-60,w,3,33,English Springer Spaniel,,,,I,2012,m,schwarz/weiss
204,80661,71-80,w,7,72,Chihuahua,,,,K,2014,w,schwarz/beige
205,80684,71-80,w,7,72,Bergamasker,Mischling,,,I,2009,m,tricolor
206,80698,41-50,w,11,119,Toypudel,,,,K,2016,m,rot
207,80698,41-50,w,11,119,Toypudel,,,,K,2019,m,weiss
